country,continent,lifeExp,pop,gdpPercap
Afghanistan,Asia,65,33736494,19.1
Albania,Europe,77.8,28873,58
Algeria,Africa,75.6,39871528,59.5
Angola,Africa,52.4,2785935,23.3
Antigua and Barbuda,North-America,76.4,,47.7
Argentina,South-America,76.3,43417765,62.8
Armenia,Europe,74.8,291695,54.9
Australia,Oceania,82.8,23789338,66.6
Austria,Europe,81.5,8633169,57.6
Azerbaijan,Europe,72.7,9649341,52.5
Bahamas,North-America,76.1,,64.5
Bahrain,Asia,76.9,,63.6
Bangladesh,Asia,71.8,1612886,18.3
Barbados,North-America,75.5,,54.5
Belarus,Europe,72.3,9489616,62.3
Belgium,Europe,81.1,11274196,63.7
Belize,North-America,71,359288,5.9
Benin,Africa,60,1575952,25.7
Bhutan,Asia,69.8,787386,24.5
Bolivia (Plurinational State of),South-America,77,,52.6
Bosnia and Herzegovina,Europe,77.4,3535961,55.8
Botswana,Africa,65.7,229197,37.9
Brazil,South-America,75,2596218,56.1
Brunei Darussalam,Asia,77.7,,41.2
Bulgaria,Europe,74.5,7177991,65.7
Burkina Faso,Africa,59.9,1811624,19.4
Burundi,Africa,59.6,119927,18.7
Cabo Verde,Africa,73.3,532913,31.3
Cambodia,Asia,68.7,15517635,19.6
Cameroon,Africa,57.3,22834522,29
Canada,North-America,82.2,3584861,67
Central African Republic,Africa,52.5,45461,22.7
Chad,Africa,53.1,149413,19.1
Chile,South-America,85,17762681,63.8
China,Asia,76.1,137122,32.9
Colombia,South-America,74.8,48228697,57.9
Comoros,Africa,63.5,777424,24.2
Congo,Africa,64.7,,27.4
Cook Islands,Oceania,,,82.8
Costa Rica,North-America,79.6,487852,6.5
Croatia,Europe,78,42364,63.7
Cuba,North-America,79.1,,61.4
Cyprus,Europe,85,116985,6.3
Czechia,Europe,78.8,,66.1
C̫te d'Ivoire,Africa,53.3,,28
Democratic People's Republic of Korea,Asia,76,,32.9
Democratic Republic of the Congo,Africa,59.8,,21.6
Denmark,Europe,86,5683483,58.8
Djibouti,Africa,63.5,927414,35
Dominica,North-America,,,58.4
Dominican Republic,North-America,73.9,1528394,58.9
Ecuador,South-America,76.2,16144368,54.2
Egypt,Africa,79,,61.1
El Salvador,North-America,73.5,6312478,56.1
Equatorial Guinea,Africa,58.2,1175389,24.5
Eritrea,Africa,64.7,447469,18.6
Estonia,Europe,77.6,131547,59.9
Ethiopia,Africa,64.8,9987333,17.6
Fiji,Oceania,69.9,892149,62.7
Finland,Europe,81.1,5479531,62.1
France,Europe,82.4,6662468,62.5
Gabon,Africa,66,193175,36.3
Gambia,Africa,61.1,,27.3
Georgia,Europe,74.4,37171,56.2
Germany,Europe,81,81686611,62.3
Ghana,Africa,62.4,27582821,28.6
Greece,Europe,81,182883,66.5
Grenada,North-America,73.6,,48.4
Guatemala,North-America,71.9,16252429,5.6
Guinea,Africa,59,1291533,23.3
Guinea-Bissau,Africa,58.9,177526,26.3
Guyana,South-America,66.2,768514,46.7
Haiti,North-America,63.5,171161,49.9
Honduras,North-America,74.6,896829,51
Hungary,Europe,75.8,984328,64.8
Iceland,Europe,82.7,33815,61
India,Asia,68.3,1395398,18.7
Indonesia,Asia,69.1,258162113,27.4
Iran (Islamic Republic of),Asia,75.5,,59.7
Iraq,Asia,68.9,36115649,59.1
Ireland,Europe,81.4,4676835,62.8
Israel,Asia,82.5,8381,64.9
Italy,Europe,82.7,673582,63.6
Jamaica,North-America,76.2,2871934,54.2
Japan,Asia,83.7,127141,29
Jordan,Asia,74.1,915932,65.6
Kazakhstan,Asia,72,17544126,53.1
Kenya,Africa,63.4,47236259,22
Kiribati,Oceania,66.3,11247,77.6
Kuwait,Asia,74.7,,71.4
Kyrgyzstan,Asia,71.1,,44.9
Lao People's Democratic Republic,Asia,65.7,,21.7
Latvia,Europe,74.6,1977527,61.2
Lebanon,Asia,74.9,5851479,66.1
Lesotho,Africa,53.7,2174645,32.6
Liberia,Africa,61.4,4499621,27.3
Libya,Africa,72.7,,64.8
Lithuania,Europe,73.6,29491,62.4
Luxembourg,Europe,82,56964,61.3
Madagascar,Africa,65.5,2423488,2.5
Malawi,Africa,58.3,1757367,19.6
Malaysia,Asia,75,3723155,4.6
Maldives,Asia,78.5,49163,27.4
Mali,Africa,58.2,1746795,23.8
Malta,Europe,81.7,431874,69.6
Marshall Islands,Oceania,,,81.6
Mauritania,Africa,63.1,4182341,3.8
Mauritius,Africa,74.6,126265,33.3
Mexico,North-America,76.7,12589949,63.5
Micronesia (Federated States of),Oceania,69.4,,69.4
Monaco,Europe,,,
Mongolia,Asia,68.8,2976877,52.7
Montenegro,Europe,76.1,622159,61.8
Morocco,Africa,74.3,3483322,58.5
Mozambique,Africa,57.6,281691,22.6
Myanmar,Asia,66.6,5243669,23.8
Namibia,Africa,65.8,2425561,35.7
Nauru,Oceania,,,87.3
Nepal,Asia,69.2,28656282,19.1
Netherlands,Europe,81.9,16939923,62.1
New Zealand,Oceania,81.6,,67.5
Nicaragua,North-America,74.8,68235,54
Niger,Africa,61.8,19896965,19.3
Nigeria,Africa,54.5,181181744,25.4
Niue,Oceania,,,77.3
Norway,Europe,81.8,518867,61.2
Oman,Asia,76.6,,54.6
Pakistan,Asia,66.4,18938513,25.4
Palau,Oceania,,292,83.3
Panama,North-America,77.8,3969249,57.8
Papua New Guinea,Oceania,62.9,7919825,48.6
Paraguay,South-America,74,6639119,5.2
Peru,South-America,75.5,31376671,55.6
Philippines,Asia,68.5,11716359,25.4
Poland,Europe,77.5,37986412,61.7
Portugal,Europe,81.1,135876,61.6
Qatar,Asia,78.2,,69.3
Republic of Korea,Asia,82.3,,31.7
Republic of Moldova,Europe,72.1,,53.4
Romania,Europe,75,19815481,6.7
Russian Federation,Asia,75,1449687,6.5
Rwanda,Africa,66.1,11629553,21.4
Saint Kitts and Nevis,North-America,,,5.2
Saint Lucia,North-America,75.2,,47.5
Saint Vincent and the Grenadines,North-America,73.2,,54.1
Samoa,Oceania,74,193759,74.7
San Marino,Europe,,,
Sao Tome and Principe,Africa,67.5,195553,3.9
Saudi Arabia,Asia,74.5,,68.2
Senegal,Africa,66.7,14976994,24.3
Serbia,Europe,75.6,795383,6
Seychelles,Africa,73.2,93419,37.4
Sierra Leone,Africa,51,723725,24.4
Singapore,Asia,83.1,,33.2
Slovakia,Europe,76.7,,59.1
Slovenia,Europe,88,263531,6.1
Solomon Islands,Oceania,69.2,587482,5.5
Somalia,Africa,55,,24.3
South Africa,Africa,62.9,5511977,51.1
South Sudan,Africa,57.3,11882136,
Spain,Europe,82.8,46447697,66.6
Sri Lanka,Asia,74.9,2966,23.4
Sudan,Africa,64.1,3864783,
Suriname,South-America,71.6,55328,58.3
Sweden,Europe,82.4,9799186,59.5
Switzerland,Europe,83.4,8282396,57.4
Syrian Arab Republic,Asia,64.5,18734987,57.1
Tajikistan,Asia,69.7,8548651,4.7
Thailand,Asia,74.9,686576,33.6
Timor-Leste,Asia,68.3,124977,17.4
Togo,Africa,59.9,741682,24.3
Tonga,Oceania,73.5,16364,75.2
Trinidad and Tobago,North-America,71.2,13692,47.1
Tunisia,Africa,75.3,11273661,61.2
Turkey,Asia,75.8,78271472,66.1
Turkmenistan,Asia,66.3,5565284,48.6
Tuvalu,Oceania,,1819,79.3
Uganda,Africa,62.3,414487,18.5
Ukraine,Europe,71.3,4515429,61.3
United Arab Emirates,Asia,77.1,,64.2
United Kingdom of Great Britain and Northern Ireland,Europe,81.2,,66.6
United States of America,North-America,79.3,,69.6
Uruguay,South-America,77,3431552,64
Uzbekistan,Asia,69.4,312989,44.7
Vanuatu,Oceania,72,26463,53.3
Venezuela (Bolivarian Republic of),South-America,74.1,,62.1
Viet Nam,Asia,76,,17.5
Yemen,Asia,65.7,,41.3
Zambia,Africa,61.8,161587,23.4
Zimbabwe,Africa,67,15777451,31.8
