state,scientific_name,Count_Tree,Longitude,Latitude
California,Abies,146,-122.5459042,38.80811332
California,Pyrus,66,-122.3216203,39.12209779
California,Liquidambar L.,44,-117.9830796,34.31079128
California,Melia L.,32,-118.2004989,34.43499569
California,Taxodium mucronatum,28,-117.9225617,34.40437068
California,Rhaphiolepis indica,21,-118.1803465,34.81485055
California,Tristania laurina,18,-118.0422954,34.66622666
California,Prunus avium,16,-117.9102347,34.47970998
California,Acer rubrum,15,-118.0665461,34.47469914
California,Betula nigra,14,-118.0537637,34.49760192
Colorado,Fraxinus pennsylvanica,31201,-104.6419529,39.85130689
Colorado,Acer saccharinum,16168,-104.595266,40.15670575
Colorado,Tilia cordata,13241,-104.5416116,40.17711607
Colorado,Acer platanoides,12690,-104.2392915,39.93968425
Colorado,Fraxinus americana,12685,-104.5243011,40.0470793
Colorado,Ulmus pumila,11996,-104.7642029,40.10066454
Colorado,Celtis occidentalis,11553,-104.534678,39.93554605
Colorado,Acer freemanii,10023,-104.3555091,40.05500746
Colorado,Malus sylvestris,9240,-104.7108853,39.93734454
Colorado,Picea pungens,8826,-104.7704666,40.16256921
District of Columbia,Acer rubrum,12711,-76.47409877,39.46993128
District of Columbia,Quercus phellos,9981,-76.6775125,39.6097632
District of Columbia,Ulmus americana,9014,-76.5828952,39.42860887
District of Columbia,Quercus palustris,8904,-76.85752226,39.27131235
District of Columbia,Zelkova serrata,6343,-76.55655443,39.43852011
District of Columbia,Quercus rubra,5852,-76.51064459,39.52173321
District of Columbia,Platanus acerifolia,5745,-76.37009919,39.33353878
District of Columbia,Acer saccharum,5408,-76.57410965,39.37083501
District of Columbia,Ginkgo biloba,4731,-76.49407034,39.5874431
District of Columbia,Lagerstroemia indica,4325,-76.33049227,39.16690875
Florida,Quercus virginiana,11409,-82.04099126,27.6398125
Florida,Sabal palmetto,8038,-81.61284473,27.16166683
Florida,NA,4809,-81.3624556,27.36463148
Florida,Pinus elliottii,4597,-81.78482132,27.33919096
Florida,Quercus geminata,3839,-81.93989275,28.47564655
Florida,Lagerstroemia indica,3410,-82.24175017,28.34584049
Florida,Taxodium distichum,2222,-81.87423939,27.04767612
Florida,Quercus laurifolia,2183,-81.80860921,27.75182935
Florida,Washingtonia robusta,1059,-82.2870752,28.45189231
Florida,Prunus caroliniana,857,-81.83507343,28.5458968
Georgia,Cercis canadensis,4308,-83.84674986,33.92929002
Georgia,Lagerstroemia,2700,-83.71118095,34.05340209
Georgia,Acer buergerianum,1898,-83.87360349,34.32850063
Georgia,Lagerstroemia indica,1728,-83.83620062,34.24286008
Georgia,Quercus nuttallii,1514,-83.70856642,33.83047663
Georgia,Acer rubrum,1476,-84.00029253,34.11978904
Georgia,Quercus alba,1461,-83.81732205,33.86037441
Georgia,Nyssa sylvatica,1449,-84.09080546,34.43777108
Georgia,Cornus florida,1292,-83.66376564,34.26587087
Georgia,Ulmus americana,989,-83.76521614,34.40036764
Hawaii,Cocos nucifera,1811,-157.2781054,21.90923987
Hawaii,Adonidia merrillii,1525,-157.2205562,21.97034759
Hawaii,Cassia nealiae,977,-157.4634045,21.65320284
Hawaii,Tabebuia heterophylla,955,-157.1098678,21.56152213
Hawaii,Albizia saman,923,-157.3290986,21.72743415
Hawaii,Casuarina equisetifolia,434,-157.0359069,21.74349834
Hawaii,Acacia confusa,366,-157.255338,21.53235533
Hawaii,Conocarpus erectus,345,-157.1516423,21.87688307
Hawaii,NA,301,-157.0974438,21.49325763
Hawaii,Tabebuia berteroi,293,-157.4740712,21.61094185
Iowa,Fraxinus pennsylvanica,1478,-93.31757642,42.25431939
Iowa,Malus,1208,-93.07470087,42.29468728
Iowa,Acer saccharinum,1145,-93.26820699,42.36516822
Iowa,Acer saccharum,1048,-93.23523397,41.88896308
Iowa,NA,995,-92.99308883,41.79374429
Iowa,Acer platanoides,694,-93.70197861,41.96552025
Iowa,Celtis occidentalis,682,-93.15406975,41.87246666
Iowa,Quercus macrocarpa,649,-92.71697323,41.88565436
Iowa,Pinus strobus,534,-93.09716949,41.82588797
Iowa,Quercus rubra,529,-93.39596294,41.91038303
Kansas,Acer rubrum,13289,-94.58818984,39.17576576
Kansas,Fraxinus americana,7654,-94.28186494,39.47402282
Kansas,Quercus palustris,3419,-94.29153691,39.30445651
Kansas,Liquidambar styraciflua,1983,-94.2282386,39.20969377
Kansas,Fraxinus pennsylvanica,1929,-94.50612856,39.63292099
Kansas,Malus,1418,-94.54954894,39.14073898
Kansas,Pyrus calleryana,1357,-94.44452772,39.30943881
Kansas,Acer saccharinum,1213,-94.248364,39.433293
Kansas,Gleditsia triacanthos,964,-94.16869644,39.25281864
Kansas,Tilia cordata,900,-94.03603445,39.56636444
Maryland,Acer rubrum,12910,-76.11599993,39.47676461
Maryland,Zelkova serrata,6766,-76.35921995,40.00916875
Maryland,Platanus acerifolia,6056,-76.50374224,39.7714256
Maryland,Tilia cordata,5932,-76.27771902,39.88934541
Maryland,Prunus,5817,-76.40034709,39.91513091
Maryland,Pyrus calleryana,4747,-76.0283783,39.79665232
Maryland,Acer platanoides,3717,-76.11029993,39.64723601
Maryland,Gleditsia triacanthos,3289,-76.23132487,39.78862449
Maryland,Quercus phellos,3035,-76.06342766,39.54219309
Maryland,Quercus rubra,2849,-76.27739968,39.81297988
Michigan,Salix,1735,-82.75935843,42.89039363
Michigan,Populus,1276,-82.9392275,42.47725592
Michigan,Acer rubrum,1183,-82.82354425,42.85117274
Michigan,Ulmus,981,-82.77184839,43.08206252
Michigan,Platanus acerifolia,980,-82.58839889,43.02716725
Michigan,Celtis occidentalis,852,-83.04215759,42.72408754
Michigan,Malus,706,-82.99584701,42.43087638
Michigan,Quercus bicolor,702,-82.88443946,42.56235959
Michigan,Liriodendron tulipifera,622,-82.93805598,42.76233956
Michigan,NA,588,-82.58333126,42.85603104
Minnesota,Fraxinus pennsylvanica,28206,-92.86430248,44.88390378
Minnesota,Acer platanoides,20191,-93.06650387,45.0654102
Minnesota,Ulmus americana,16232,-92.9760095,45.2431568
Minnesota,Acer saccharum,15362,-93.39148036,44.75755386
Minnesota,Tilia americana,12745,-92.92992204,44.76759502
Minnesota,Celtis occidentalis,12736,-93.32621991,45.06645325
Minnesota,Tilia cordata,12687,-92.9634093,45.0368998
Minnesota,Gleditsia triacanthos,12676,-93.36967453,45.19580217
Minnesota,Unassigned,12042,-93.28497557,45.12537613
Minnesota,Acer rubrum,4196,-93.31016917,45.2738438
Nevada,NA,7329,-115.1242641,36.5170793
Nevada,Pinus brutia,5888,-114.730807,36.39735732
Nevada,Fraxinus velutina,4480,-114.5763266,36.75345994
Nevada,Washingtonia robusta,1844,-114.8321809,36.49828614
Nevada,Acacia stenophylla,1483,-114.7674239,36.75182243
Nevada,Vitex agnus-castus,1478,-114.9054806,36.57857095
Nevada,Prosopis chilensis,1280,-115.0714333,36.70528125
Nevada,Fraxinus angustifolia,1135,-114.5929393,36.94586944
Nevada,Chitalpa tashkentensis,1050,-114.7004128,36.3882634
Nevada,Chilopsis linearis,1020,-114.744877,36.42930485
New Mexico,Ulmus pumila,216,-106.0534462,35.40621063
New Mexico,Platanus acerifolia,186,-106.3400156,35.47252884
New Mexico,Gleditsia triacanthos,159,-106.1142045,35.23954488
New Mexico,Pinus nigra,149,-106.3310502,35.71492759
New Mexico,Fraxinus,148,-106.2014294,35.44145588
New Mexico,Malus,127,-106.0187998,35.3708529
New Mexico,Ulmus,107,-106.5501052,35.67041525
New Mexico,Ulmus parvifolia,82,-106.4791848,35.80949026
New Mexico,Quercus buckleyi,73,-106.3829011,35.48674441
New Mexico,Chilopsis linearis,63,-106.2161377,35.28635893
New York,Platanus acerifolia,87014,-73.38501308,41.26004108
New York,Gleditsia triacanthos,64264,-73.15753919,41.07674308
New York,Pyrus calleryana,58931,-73.73753186,41.00091661
New York,Quercus palustris,53185,-73.68488602,41.22686777
New York,Acer platanoides,40112,-73.37283822,40.95814454
New York,NA,31619,-73.16678474,40.8698406
New York,Tilia cordata,29742,-73.67897594,40.91218252
New York,Prunus,29279,-73.44794235,40.94524665
New York,Zelkova serrata,29258,-73.4821785,41.06618123
New York,Ginkgo biloba,21024,-73.31670225,40.83818219
North Carolina,Lagerstroemia,3816,-78.8183107,36.77024667
North Carolina,Quercus phellos,3284,-78.90332743,36.50664667
North Carolina,Acer buergerianum,1046,-78.54135003,36.45926507
North Carolina,Acer rubrum,911,-78.53312646,36.48234281
North Carolina,Ulmus parvifolia,592,-78.62806003,36.59938873
North Carolina,Cercis canadensis,587,-78.53915758,36.60443969
North Carolina,Carya illinoinensis,481,-79.32250714,36.73140337
North Carolina,Ulmus,438,-79.01428758,36.61916834
North Carolina,Ulmus americana,375,-78.40159567,36.73006696
North Carolina,Magnolia grandiflora,372,-78.64037634,36.69765403
Ohio,NA,15254,-82.78585191,40.20931162
Ohio,Fraxinus pennsylvanica,9376,-82.88286416,40.71778723
Ohio,Pyrus calleryana,9015,-82.68490063,40.32814922
Ohio,Acer rubrum,8442,-82.82650622,40.70843355
Ohio,Acer saccharum,7426,-82.66532901,40.42886285
Ohio,Gleditsia triacanthos,6776,-82.56505338,40.74729396
Ohio,Fraxinus americana,6680,-82.80325228,40.21838792
Ohio,Malus,6672,-82.50453304,40.19833405
Ohio,Acer freemanii,5505,-82.29735353,40.19752811
Ohio,Acer platanoides,4411,-82.31602634,40.1662477
Oklahoma,NA,1129,-97.46568957,35.79453316
Oklahoma,Juniperus virginiana,711,-96.96501653,36.1654329
Oklahoma,Lagerstroemia indica,689,-97.00077782,35.99900993
Oklahoma,Quercus stellata,584,-97.10464703,35.69697875
Oklahoma,Pistacia chinensis,567,-97.27036221,36.15323151
Oklahoma,Ulmus parvifolia,455,-97.18017194,35.68615422
Oklahoma,Pinus nigra,453,-97.07689087,36.1869447
Oklahoma,Quercus shumardii,383,-96.78109515,35.75674236
Oklahoma,Taxodium distichum,377,-97.24443599,35.66392574
Oklahoma,Ulmus pumila,327,-97.08725501,35.718422
Oregon,Prunus,24094,-122.0072627,46.10041045
Oregon,Acer platanoides,18277,-121.8788981,45.92943529
Oregon,Acer rubrum,14488,-122.3044544,45.82408701
Oregon,Pyrus,11121,-122.5532778,46.12597144
Oregon,Acer,10109,-122.4284216,46.09180212
Oregon,Fraxinus,8681,-122.0848745,45.84618864
Oregon,Cornus,8106,-122.3724463,46.14788043
Oregon,Quercus,6962,-122.2706149,45.86385629
Oregon,Malus,6570,-122.4082222,45.9417552
Oregon,Betula,6029,-122.3449008,45.78289723
South Dakota,Acer freemanii,4933,-96.36457373,44.25429115
South Dakota,Picea pungens,1290,-96.61978849,43.93516997
South Dakota,Acer rubrum,989,-96.18448567,44.01843537
South Dakota,Juglans nigra,609,-96.12178532,44.16190886
South Dakota,Populus deltoides,512,-96.67881932,44.05435902
South Dakota,Ulmus pumila,486,-96.29316015,44.05316483
South Dakota,Pinus sylvestris,433,-96.2993485,44.22852078
South Dakota,Fraxinus americana,359,-96.39173734,43.87443513
South Dakota,Pinus ponderosa,314,-96.57584389,43.94978774
South Dakota,Acer ginnala,264,-96.42120942,43.81782531
Washington,Prunus cerasifera,8244,-121.7871903,48.01456204
Washington,Acer rubrum,7543,-122.0904976,48.14684692
Washington,Acer platanoides,6304,-121.8931522,47.85597471
Washington,Malus,5206,-121.8118236,47.97415079
Washington,Prunus L.,4948,-121.9612763,47.74048873
Washington,Acer palmatum,4577,-121.7723376,48.24572586
Washington,Pyrus calleryana,4467,-121.7355056,47.80776456
Washington,Prunus,3937,-122.0189251,48.25965295
Washington,Acer truncatum,3750,-122.1720713,47.94685923
Washington,Crataegus laevigata,3645,-122.0579662,48.01785037
Wisconsin,Acer platanoides,23823,-88.81009361,43.7128419
Wisconsin,Fraxinus pennsylvanica,20802,-88.64498586,43.33180044
Wisconsin,NA,12465,-88.77681663,43.32837305
Wisconsin,Gleditsia triacanthos,6168,-88.45367271,43.10221852
Wisconsin,Tilia,5107,-89.29913891,43.55791436
Wisconsin,Tilia cordata,4754,-88.76306053,43.12735624
Wisconsin,Fraxinus americana,4389,-88.81253345,43.31008638
Wisconsin,Celtis occidentalis,4154,-88.48566621,43.68748402
Wisconsin,Tilia americana,4052,-88.5704543,43.72505209
Wisconsin,Acer saccharum,3771,-88.17684278,43.47469924
